start_time,end_time,wav_file,emotion,val,act,dom,text
6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5,Excuse me.
10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5,Yeah.
14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5,Is there a problem?
19.29,20.7875,Ses01F_impro01_F003,xxx,2.5,3,3,You did.
21.3257,24.74,Ses01F_impro01_F004,xxx,2.5,3,2.5,You were standing at the beginning and you directed me.
27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2,Well what's the problem?  Let me change it.
38.965,43.59,Ses01F_impro01_F006,fru,2,3.5,3.5,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.
46.58,52.19,Ses01F_impro01_F007,fru,2.5,3.5,3.5,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?
56.16,58.8225,Ses01F_impro01_F008,fru,2,3.5,3.5,I'm here to get an ID.
61.87,65.97,Ses01F_impro01_F009,fru,2,3.5,3,Like what?  Like a birth certificate?
66.42,69.34,Ses01F_impro01_F010,xxx,1.5,3.5,3.5,Who the hell has a birth certificate?
72.45,82.26,Ses01F_impro01_F011,fru,2,3.5,3.5,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?"
85.27,88.02,Ses01F_impro01_F012,ang,2,3.5,3.5,That's out of control.
93.67,97.0218,Ses01F_impro01_F013,fru,2,4,3.5,How long have you been working here?
97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5,"Clearly.  You know, do you have like a supervisor or something?"
103.97,106.71,Ses01F_impro01_F015,fru,2,3.5,3,That would - I would appreciate that.  Yeah.
7.5712,10.475,Ses01F_impro01_M000,fru,2.5,2,2.5,Do you have your forms?
10.9266,14.6649,Ses01F_impro01_M001,fru,2.5,2,2.5,Let me see them.
16.8352,19.7175,Ses01F_impro01_M002,fru,2,3.5,3.5,Who told you to get in this line?
23.47,28.03,Ses01F_impro01_M003,fru,2.5,3.5,3.5,Okay. But I didn't tell you to get in this line if you are filling out this particular form.
28.395,31.2117,Ses01F_impro01_M004,fru,2,4,3.5,This form is a Z.X.four.
31.266,39.3875,Ses01F_impro01_M005,fru,2,3.5,3.5,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID."
41.23,46.98,Ses01F_impro01_M006,fru,2,3.5,3.5,No. I need another set of ID to prove this is actually you.
51.4,57.64,Ses01F_impro01_M007,fru,2.5,3.5,3,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.
58.18,62.59,Ses01F_impro01_M008,fru,2,3.5,3.5,"No.  I need another ID, a separate one."
65.51,73,Ses01F_impro01_M009,fru,2.5,3.5,4,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?"
