,start_time,end_time,wav_file,emotion,val,act,dom,text,label
0,6.2901,8.2357,Ses01F_impro01_F000,neu,2.5,2.5,2.5,Excuse me.,0
1,10.01,11.3925,Ses01F_impro01_F001,neu,2.5,2.5,2.5,Do you have your forms?,0
2,14.8872,18.0175,Ses01F_impro01_F002,neu,2.5,2.5,2.5,Yeah.,0
5,27.46,31.49,Ses01F_impro01_F005,neu,2.5,3.5,2,Who told you to get in this line?,0
6,38.965,43.59,Ses01F_impro01_F006,fru,2,3.5,3.5,You did.,1
7,46.58,52.19,Ses01F_impro01_F007,fru,2.5,3.5,3.5,You were standing at the beginning and you directed me.,1
8,56.16,58.8225,Ses01F_impro01_F008,fru,2,3.5,3.5,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,1
9,61.87,65.97,Ses01F_impro01_F009,fru,2,3.5,3,Well what's the problem?  Let me change it.,1
11,72.45,82.26,Ses01F_impro01_F011,fru,2,3.5,3.5,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",1
12,85.27,88.02,Ses01F_impro01_F012,ang,2,3.5,3.5,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,2
13,93.67,97.0218,Ses01F_impro01_F013,fru,2,4,3.5,No. I need another set of ID to prove this is actually you.,1
14,97.89,102.96,Ses01F_impro01_F014,neu,2.5,3.5,3.5,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,0
15,103.97,106.71,Ses01F_impro01_F015,fru,2,3.5,3,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,1
16,7.5712,10.475,Ses01F_impro01_M000,fru,2.5,2,2.5,I'm here to get an ID.,1
17,10.9266,14.6649,Ses01F_impro01_M001,fru,2.5,2,2.5,"No.  I need another ID, a separate one.",1
18,16.8352,19.7175,Ses01F_impro01_M002,fru,2,3.5,3.5,Like what?  Like a birth certificate?,1
19,23.47,28.03,Ses01F_impro01_M003,fru,2.5,3.5,3.5,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",1
20,28.395,31.2117,Ses01F_impro01_M004,fru,2,4,3.5,Who the hell has a birth certificate?,1
21,31.266,39.3875,Ses01F_impro01_M005,fru,2,3.5,3.5,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",1
22,41.23,46.98,Ses01F_impro01_M006,fru,2,3.5,3.5,"Yeah.  We keep it on file, but we need an ID to access that file.",1
